customer_id,tenure_months,subscription_tier,monthly_charges,login_frequency_monthly,feature_usage_pct,support_tickets_90d,payment_delays_12m,discount_count,nps_score,email_open_rate,last_activity_days,churned,engagement_score,is_high_value,has_payment_issues,is_heavy_support_user,is_inactive,clv_estimate,risk_score_baseline,churn_probability,risk_tier,duration_days,event_observed,predicted_days_until_churn
CUST_000016,4,Premium,152.7,14,51.1,0,1,2,7,0.269,2,0,48.71,1,1,0,0,488.64,40.387,0.39321821585141553,Medium,120,0,99
CUST_000017,8,Basic,26.52,20,48.3,1,1,0,10,0.326,5,0,61.010000000000005,0,1,0,0,169.728,36.696999999999996,0.31151210679379737,Medium,120,0,103
CUST_000018,17,Standard,84.32,19,71.5,0,0,2,4,0.603,15,1,60.51,0,0,0,1,1146.752,36.847,0.29734699137770615,Medium,66,1,104
CUST_000019,13,Standard,73.86,10,17.6,1,1,1,7,0.386,13,0,37.0,0,1,0,0,768.144,43.9,0.6018532899527413,High,120,0,96
CUST_000020,8,Basic,26.51,21,35.4,1,2,1,1,0.143,1,1,36.480000000000004,0,1,0,0,169.66400000000002,54.056,0.578834251997141,High,25,1,88
CUST_000021,22,Standard,77.42,14,29.9,1,1,0,7,0.296,5,0,42.88999999999999,0,1,0,0,1362.592,42.133,0.4136490668295601,Medium,120,0,101
CUST_000022,3,Premium,151.29,16,33.3,1,1,1,4,0.409,9,0,42.17,1,1,0,0,363.096,52.349000000000004,0.5801573580859691,High,120,0,93
CUST_000023,8,Premium,159.58,11,39.8,1,0,0,8,0.757,21,1,54.08,1,0,0,1,1021.3120000000001,28.776000000000003,0.49533359706601293,Medium,31,1,100
CUST_000024,10,Basic,31.75,16,16.6,3,1,1,5,0.229,9,0,35.56,0,1,1,0,254.0,74.332,0.6795532792507856,High,120,0,89
CUST_000025,14,Basic,28.65,13,22.7,0,1,3,6,0.452,7,0,40.849999999999994,0,1,0,0,320.88,52.745000000000005,0.5227072939707909,High,120,0,99
CUST_000026,36,Basic,26.45,19,5.7,3,1,1,7,0.261,1,0,39.93,0,1,1,0,761.76,63.021,0.4715936271497088,Medium,120,0,100
CUST_000027,5,Premium,156.42,14,39.0,1,0,2,7,0.735,4,0,54.400000000000006,1,0,0,0,625.68,13.68,0.4638849608082157,Medium,120,0,101
CUST_000028,17,Basic,29.38,13,12.5,2,0,0,5,0.234,3,1,31.430000000000003,0,0,0,0,399.568,30.570999999999998,0.571928812111885,High,71,1,93
CUST_000029,21,Premium,147.45,10,18.2,1,0,0,4,0.149,3,0,26.439999999999998,1,0,0,0,2477.16,32.068,0.546303693239409,High,120,0,94
CUST_000030,1,Basic,27.89,15,12.3,2,3,1,7,0.639,2,0,45.47,0,1,0,0,22.312,41.359,0.7067757271010521,High,120,0,88
CUST_000031,22,Standard,79.04,12,39.1,1,0,1,6,0.362,2,0,42.970000000000006,0,0,0,0,1391.1040000000003,27.108999999999998,0.39453552346513765,Medium,120,0,101
CUST_000032,4,Standard,76.45,8,42.1,2,1,1,2,0.483,9,0,34.29,0,1,0,0,244.64000000000001,54.713,0.6635938696535792,High,120,0,87
CUST_000033,1,Premium,156.66,10,11.6,1,0,0,7,0.385,3,0,35.18,1,0,0,0,125.328,19.446,0.6159173971571916,High,120,0,92
CUST_000034,71,Basic,29.25,14,1.1,2,0,4,7,0.557,0,0,39.46999999999999,0,0,0,0,1661.4,18.159000000000002,0.2880807056751344,Medium,120,0,107
CUST_000035,80,Standard,84.95,9,41.2,3,1,2,7,0.289,0,0,41.14,0,1,1,0,5436.8,62.658,0.2034111500836858,Low,120,0,108
CUST_000036,39,Basic,29.25,14,58.5,3,1,3,3,0.287,1,0,43.29,0,1,1,0,912.6,72.013,0.3737408980263926,Medium,120,0,101
CUST_000037,8,Premium,141.2,15,43.3,1,0,0,7,0.403,1,0,50.05,1,0,0,0,903.68,14.985000000000001,0.39493673524384854,Medium,120,0,100
CUST_000038,2,Premium,159.46,12,50.5,1,2,2,8,0.41,19,0,51.35000000000001,1,1,0,1,255.13600000000002,54.595,0.5429382342919236,High,120,0,94
CUST_000039,27,Basic,29.33,14,21.6,0,0,1,4,0.46,6,0,37.68,0,0,0,0,633.528,28.695999999999998,0.46566356206565235,Medium,120,0,102
CUST_000040,13,Premium,140.26,18,42.1,0,0,1,7,0.441,11,0,53.449999999999996,1,0,0,0,1458.704,13.965,0.3940031201529655,Medium,120,0,103
CUST_000041,3,Standard,80.95,13,52.6,2,1,0,4,0.383,0,1,44.440000000000005,0,1,0,0,194.28000000000003,51.66799999999999,0.4854139520552339,Medium,10,1,93
CUST_000042,16,Basic,28.17,15,9.3,0,0,0,6,0.501,0,0,39.81,0,0,0,0,360.576,28.057,0.4819646867275871,Medium,120,0,100
CUST_000043,1,Standard,84.44,15,71.5,1,1,0,6,0.255,0,0,53.55,0,1,0,0,67.552,48.935,0.3412692813967414,Medium,120,0,99
CUST_000044,57,Basic,28.73,14,28.8,1,0,0,8,0.269,7,0,44.02,0,0,0,0,1310.0880000000002,16.794,0.2402875743397929,Low,120,0,107
CUST_000045,7,Premium,155.75,13,20.8,2,0,0,5,0.149,6,1,32.220000000000006,1,0,0,0,872.2,30.334,0.6097317687867501,High,29,1,89
CUST_000046,26,Premium,136.95,12,48.6,2,1,1,5,0.041,3,0,37.4,1,1,0,0,2848.56,53.78,0.3931956113949392,Medium,120,0,97
CUST_000047,8,Basic,28.4,13,12.4,3,0,0,9,0.449,0,0,43.7,0,0,1,0,181.76,36.89,0.5834212851076632,High,120,0,96
CUST_000048,17,Standard,86.64,18,26.4,3,1,2,8,0.31,3,0,48.120000000000005,0,1,1,0,1178.304,60.564,0.494313952027785,Medium,120,0,98
CUST_000049,18,Premium,158.19,7,21.0,2,0,0,7,0.653,3,0,40.36000000000001,1,0,0,0,2277.936,17.892,0.5302341013598191,High,120,0,98
CUST_000050,4,Enterprise,278.66,18,11.9,3,0,1,6,0.321,0,0,39.99,1,0,1,0,891.7120000000001,48.003,0.6324231857996212,High,120,0,90
CUST_000051,83,Standard,75.49,16,53.0,2,0,0,8,0.588,3,0,59.660000000000004,0,0,0,0,5012.536,12.102,0.09801438990695002,Low,120,0,110
CUST_000052,35,Enterprise,288.82,14,19.5,0,0,0,7,0.134,12,0,36.529999999999994,1,0,0,0,8086.959999999999,19.041,0.40035968669174504,Medium,120,0,103
CUST_000053,67,Standard,81.38,13,40.9,3,0,0,6,0.179,15,0,40.849999999999994,0,0,1,1,4361.968,62.745000000000005,0.271539446231581,Medium,120,0,105
CUST_000054,54,Standard,83.06,18,33.5,1,1,1,6,0.509,2,1,50.23,0,1,0,0,3588.192,49.931,0.22731763184448886,Low,119,1,107
CUST_000055,21,Premium,156.44,13,62.6,1,0,0,7,0.405,2,0,53.879999999999995,1,0,0,0,2628.192,13.836000000000002,0.2791798291456461,Medium,120,0,104
CUST_000056,61,Standard,79.16,17,43.5,2,1,1,9,0.697,2,0,61.99,0,1,0,0,3863.0080000000003,36.403,0.15741031823610752,Low,120,0,109
CUST_000057,2,Standard,83.91,17,12.6,2,1,0,7,0.413,6,0,43.04,0,1,0,0,134.256,42.088,0.5999269527542443,High,120,0,93
CUST_000058,5,Standard,78.01,11,21.5,2,1,0,8,0.482,3,1,43.09,0,1,0,0,312.04,42.07299999999999,0.5542306417265649,High,18,1,95
CUST_000059,1,Premium,137.79,11,11.8,6,0,1,6,0.618,7,0,38.9,1,0,1,0,110.232,48.33,0.7873488049501812,Critical,120,0,106
CUST_000060,9,Premium,150.92,12,68.2,1,0,1,10,0.401,0,0,60.480000000000004,1,0,0,0,1086.624,11.856,0.2642072505508949,Medium,120,0,104
CUST_000061,11,Standard,86.15,17,39.9,4,0,2,6,0.548,6,1,51.93,0,0,1,0,758.1200000000001,44.421,0.5573934565201394,High,48,1,97
CUST_000062,7,Standard,83.63,20,36.4,2,2,0,0,0.46,3,0,40.12,0,1,0,0,468.328,52.964,0.6330413106149786,High,120,0,87
CUST_000063,42,Standard,80.24,5,9.8,4,0,1,8,0.812,6,0,40.18000000000001,0,0,1,0,2696.0640000000003,37.946,0.5570539975749886,High,120,0,102
CUST_000064,10,Standard,81.32,12,21.8,1,0,3,7,0.626,17,0,45.06,0,0,0,1,650.56,31.482,0.5684016528325863,High,120,0,97
CUST_000065,7,Basic,31.5,8,9.9,3,0,0,4,0.541,22,1,29.790000000000006,0,0,1,1,176.4,66.063,0.795060432052401,Critical,25,1,117
CUST_000066,18,Premium,146.86,13,41.5,2,0,1,1,0.816,5,0,43.77,1,0,0,0,2114.7840000000006,26.869,0.5403289755737328,High,120,0,97
CUST_000067,3,Standard,76.34,11,20.0,0,0,2,10,0.733,1,0,51.66,0,0,0,0,183.216,14.502000000000002,0.4721222920743816,Medium,120,0,102
CUST_000068,38,Standard,86.54,16,29.0,4,1,0,7,0.309,18,0,44.879999999999995,0,1,1,1,2630.8160000000007,76.536,0.4653087585783192,Medium,120,0,98
CUST_000069,1,Basic,31.11,18,38.6,2,0,1,7,0.405,4,0,51.68000000000001,0,0,0,0,24.888,14.495999999999999,0.47956820693087976,Medium,120,0,98
CUST_000070,104,Basic,27.97,17,31.9,1,1,1,6,0.445,3,0,47.47,0,1,0,0,2327.1040000000003,50.759,0.09650979876020224,Low,120,0,110
CUST_000071,35,Enterprise,296.83,21,33.3,0,0,0,3,0.284,1,1,42.669999999999995,1,0,0,0,8311.24,27.199,0.3069217351505381,Medium,119,1,103
CUST_000072,5,Standard,77.66,6,14.6,1,0,0,7,0.69,17,0,38.18,0,0,0,1,310.64,33.54600000000001,0.6501904640620376,High,120,0,93
CUST_000073,1,Basic,26.96,16,38.3,1,0,0,6,0.461,23,0,48.71,0,0,0,1,21.568,40.387,0.5605008673213611,High,120,0,95
CUST_000074,40,Standard,86.23,16,7.7,2,2,1,10,0.371,23,0,45.730000000000004,0,1,0,1,2759.3600000000006,56.281,0.4834828404887146,Medium,120,0,101
CUST_000075,29,Standard,77.49,12,23.4,4,2,1,3,0.3,4,1,31.019999999999996,0,1,1,0,1797.768,75.694,0.6710406264066833,High,87,1,88
CUST_000076,31,Basic,31.18,7,5.8,1,1,1,5,0.216,13,0,23.06,0,1,0,0,773.2640000000001,58.082,0.6202462417308744,High,120,0,96
CUST_000077,35,Standard,74.09,17,41.8,1,0,2,6,0.31,8,0,47.74,0,0,0,0,2074.52,25.677999999999997,0.3233584377805437,Medium,120,0,105
CUST_000078,1,Standard,79.76,16,28.7,5,1,2,8,0.598,4,0,52.57000000000001,0,1,1,0,63.80800000000001,59.229,0.6379993795243187,High,120,0,91
CUST_000079,10,Standard,71.48,9,40.2,1,1,0,8,0.158,12,1,40.220000000000006,0,1,0,0,571.84,42.934,0.5020163371661087,High,37,1,97
CUST_000080,2,Standard,83.17,13,32.0,3,1,1,5,0.678,4,0,46.160000000000004,0,1,1,0,133.072,71.152,0.6483544473073988,High,120,0,92
CUST_000081,47,Standard,80.28,11,19.2,6,0,0,6,0.296,10,0,34.68,0,0,1,0,3018.5280000000002,49.596000000000004,0.5592777683505367,High,120,0,97
CUST_000082,23,Enterprise,306.51,19,12.1,7,0,1,2,0.384,21,1,34.309999999999995,1,0,1,1,5639.784,64.707,0.7624468407205245,Critical,67,1,86
CUST_000083,9,Standard,71.92,11,59.4,2,0,1,6,0.302,7,1,46.86,0,0,0,0,517.824,25.942,0.44580717754486054,Medium,41,1,98
CUST_000084,1,Basic,27.32,18,58.8,4,2,2,4,0.641,19,0,56.46,0,1,1,1,21.856,83.062,0.660877604211727,High,120,0,87
CUST_000085,8,Basic,26.53,9,64.5,1,0,0,9,0.48,5,0,55.95,0,0,0,0,169.79200000000003,13.215,0.3424457506009661,Medium,120,0,103
CUST_000086,9,Standard,75.66,13,6.0,2,0,1,8,0.396,1,0,38.720000000000006,0,0,0,0,544.752,18.384,0.5706353918834733,High,120,0,95
CUST_000087,31,Premium,152.8,10,32.7,2,0,1,4,0.36,5,0,35.010000000000005,1,0,0,0,3789.4400000000005,29.496999999999996,0.47178269265021666,Medium,120,0,99
CUST_000088,24,Basic,29.38,16,43.6,4,1,1,7,0.185,5,0,46.78,0,1,1,0,564.096,60.966,0.4547056301184822,Medium,120,0,98
CUST_000089,52,Premium,152.34,12,11.7,0,1,1,10,0.193,2,0,39.37,1,1,0,0,6337.344000000001,43.189,0.26015916055311333,Medium,120,0,106
CUST_000090,15,Basic,29.29,9,31.5,3,1,1,6,0.252,8,1,35.49,0,1,1,0,351.48,74.35300000000001,0.6237301037531883,High,49,1,92
CUST_000091,3,Standard,75.41,10,27.0,1,1,1,6,0.337,1,0,36.84,0,1,0,0,180.984,53.94799999999999,0.5630642835498103,High,120,0,92
CUST_000092,29,Premium,141.39,11,18.9,1,1,1,6,0.109,4,0,30.849999999999994,1,1,0,0,3280.2479999999996,55.745000000000005,0.4672092279016083,Medium,120,0,98
CUST_000093,34,Standard,73.27,17,5.3,3,1,0,7,0.777,1,0,48.129999999999995,0,1,1,0,1992.944,60.561,0.48673696997728344,Medium,120,0,102
CUST_000094,19,Standard,84.52,19,43.7,1,1,2,7,0.794,27,0,61.99,0,1,0,1,1284.704,51.403,0.4320624759029465,Medium,120,0,103
CUST_000095,35,Basic,29.68,10,26.6,3,1,1,3,0.433,1,0,32.63999999999999,0,1,1,0,831.04,75.208,0.5442310290957342,High,120,0,96
CUST_000096,16,Premium,139.66,18,63.8,2,0,1,3,0.647,20,0,56.08,1,0,0,1,1787.6480000000001,38.176,0.426851567370667,Medium,120,0,99
CUST_000097,17,Basic,27.13,14,37.3,4,0,1,8,0.476,18,1,50.71000000000001,0,0,1,1,368.968,49.787,0.5419988505049831,High,62,1,96
CUST_000098,13,Premium,160.12,15,44.4,1,1,0,10,0.594,3,0,60.20000000000001,1,1,0,0,1665.248,36.94,0.3209040227300112,Medium,120,0,104
CUST_000099,1,Basic,30.41,17,21.4,4,0,0,7,0.108,0,0,39.57999999999999,0,0,1,0,24.328000000000003,38.126000000000005,0.621698147783734,High,120,0,87
CUST_000100,2,Premium,153.75,9,38.1,2,2,1,9,0.331,9,0,45.050000000000004,1,1,0,0,246.0,41.485,0.5996813022614893,High,120,0,92
CUST_000101,1,Standard,77.53,10,44.9,3,0,0,9,0.336,1,1,48.19,0,0,1,0,62.024,35.543,0.5177625157871757,High,7,1,95
CUST_000102,24,Premium,141.91,16,9.2,1,1,1,6,0.722,7,0,45.199999999999996,1,1,0,0,2724.6720000000005,51.44,0.5069322118489453,High,120,0,101
CUST_000103,9,Standard,86.58,17,13.9,5,0,1,6,0.373,1,0,40.63,0,0,1,0,623.3760000000001,47.81099999999999,0.660090745382444,High,120,0,88
CUST_000104,17,Enterprise,316.77,10,32.0,2,0,0,8,0.473,0,0,45.06,1,0,0,0,4308.072,16.482,0.42500147654024417,Medium,120,0,99
CUST_000105,57,Basic,27.85,24,48.2,4,0,0,9,0.247,0,0,61.4,0,0,1,0,1269.96,31.58,0.16913290327584782,Low,120,0,108
CUST_000106,6,Basic,31.02,9,59.7,4,0,0,9,0.193,7,0,48.77,0,0,1,0,148.89600000000002,35.369,0.5022249454794803,High,120,0,96
CUST_000107,12,Standard,83.09,20,14.0,0,0,0,6,0.311,12,0,42.42,0,0,0,0,797.6640000000001,27.274,0.5229302632676922,High,120,0,100
CUST_000108,33,Basic,27.82,19,12.7,1,3,0,6,0.262,14,1,40.05,0,1,0,0,734.4480000000001,52.985,0.5806740601196408,High,115,1,98
CUST_000109,6,Basic,28.57,22,38.2,2,1,2,8,0.181,6,0,53.07999999999999,0,1,0,0,137.13600000000002,39.076,0.42765395319756194,Medium,120,0,98
CUST_000110,1,Enterprise,280.22,13,53.0,1,0,0,6,0.339,2,0,47.68000000000001,1,0,0,0,224.17600000000004,25.695999999999998,0.4337967313899549,Medium,120,0,97
CUST_000111,8,Enterprise,275.74,19,13.3,2,0,1,9,0.553,5,0,52.05,1,0,0,0,1764.736,14.385000000000002,0.4973669642448665,Medium,120,0,99
CUST_000112,4,Standard,82.52,10,35.1,2,0,3,7,0.422,7,1,42.97,0,0,0,0,264.064,17.109,0.5726536177013529,High,18,1,95
CUST_000113,63,Enterprise,285.1,17,0.6,0,1,1,5,0.059,6,1,28.359999999999996,1,1,0,0,14369.040000000003,56.492000000000004,0.32310080780275235,Medium,119,1,105
CUST_000114,39,Standard,84.06,11,44.3,3,2,3,5,0.247,1,0,39.23,0,1,1,0,2622.6720000000005,73.231,0.47039870933014233,Medium,120,0,98
CUST_000115,24,Basic,31.87,14,56.5,0,0,1,8,0.452,6,1,55.99000000000001,0,0,0,0,611.904,13.202999999999998,0.26996921072232605,Medium,110,1,106
CUST_000116,49,Premium,136.38,15,7.6,3,2,1,4,0.128,3,0,27.839999999999996,1,1,1,0,5346.0960000000005,76.648,0.558748742299821,High,120,0,96
CUST_000117,39,Premium,148.2,15,41.0,2,0,0,9,0.615,4,0,57.599999999999994,1,0,0,0,4623.839999999999,12.72,0.2540836412958354,Medium,120,0,107
CUST_000118,4,Enterprise,317.06,13,35.7,0,1,2,6,0.318,8,0,42.07,1,1,0,0,1014.5920000000001,52.379,0.520531023784653,High,120,0,96
CUST_000119,53,Basic,30.68,15,32.9,1,1,0,9,0.436,7,0,51.59,0,1,0,0,1300.832,39.522999999999996,0.2248234067482632,Low,120,0,108
CUST_000120,18,Premium,156.75,22,26.0,6,0,0,8,0.516,1,0,56.120000000000005,1,0,1,0,2257.2000000000003,33.164,0.4986772099507169,Medium,120,0,97
CUST_000121,39,Basic,28.12,17,17.0,1,0,1,8,0.308,0,0,44.26,0,0,0,0,877.344,16.722,0.30810522993636824,Medium,120,0,105
CUST_000122,54,Basic,28.73,12,5.6,4,0,1,8,0.239,13,0,34.46,0,0,1,0,1241.1360000000002,39.662,0.5054616012868366,High,120,0,102
CUST_000123,9,Basic,29.55,18,40.1,3,0,0,7,0.455,8,0,53.13,0,0,1,0,212.76,34.061,0.5161260600871046,High,120,0,99
CUST_000124,2,Enterprise,327.34,12,33.3,2,1,3,6,0.489,15,0,43.769999999999996,1,1,0,1,523.744,66.869,0.5990409673274711,High,120,0,89
CUST_000125,6,Premium,143.86,16,29.5,3,1,1,7,0.275,2,1,44.35,1,1,1,0,690.5280000000001,61.695,0.5659827680415223,High,20,1,92
CUST_000126,13,Premium,161.61,9,42.0,4,0,2,7,0.299,30,1,41.58,1,0,1,1,1680.7440000000004,52.526,0.6814374737447411,High,45,1,90
CUST_000127,40,Standard,75.36,18,8.0,1,0,2,6,0.124,3,0,34.88,0,0,0,0,2411.52,29.536,0.39312643813827036,Medium,120,0,102
CUST_000128,47,Standard,86.73,13,63.2,1,0,2,7,0.547,17,0,56.89999999999999,0,0,0,1,3261.0480000000007,27.93,0.21566915608874224,Low,120,0,107
CUST_000129,1,Basic,29.99,14,57.4,3,0,0,6,0.529,7,0,53.800000000000004,0,0,1,0,23.992,43.86,0.5337271305919218,High,120,0,97
CUST_000130,17,Basic,28.79,18,8.7,1,0,0,8,0.865,2,1,53.910000000000004,0,0,0,0,391.54400000000004,13.827,0.44582283654522425,Medium,77,1,104
CUST_000131,12,Standard,80.79,14,27.2,4,0,1,9,0.773,2,1,55.620000000000005,0,0,1,0,775.5840000000001,33.314,0.5310888272051351,High,56,1,99
CUST_000132,6,Premium,142.22,16,71.6,3,0,0,8,0.758,7,0,68.64,1,0,1,0,682.656,29.408,0.385893661657756,Medium,120,0,103
CUST_000133,3,Standard,75.43,15,44.6,1,0,0,6,0.085,7,0,42.08,0,0,0,0,181.03200000000004,27.375999999999998,0.4800623147620747,Medium,120,0,96
CUST_000134,9,Basic,26.76,24,48.0,2,1,0,7,0.403,5,0,60.46,0,1,0,0,192.67200000000003,36.861999999999995,0.3566310500480941,Medium,120,0,101
CUST_000135,68,Basic,26.76,10,30.2,3,1,0,0,0.836,20,0,35.78,0,1,1,1,1455.7440000000001,89.26599999999999,0.4735384855258713,Medium,120,0,103
CUST_000136,9,Basic,28.12,10,27.8,3,1,2,9,0.562,7,1,47.58,0,1,1,0,202.46400000000003,60.726,0.5983457980761896,High,32,1,97
CUST_000137,17,Standard,83.15,13,28.7,1,1,2,5,0.221,1,0,36.03000000000001,0,1,0,0,1130.8400000000001,54.191,0.4836458299254479,Medium,120,0,96
CUST_000138,29,Enterprise,305.46,13,19.3,2,0,1,6,0.57,0,0,42.19,1,0,0,0,7086.6720000000005,27.343000000000004,0.4353018130782188,Medium,120,0,101
CUST_000139,10,Standard,72.72,23,29.8,3,0,5,4,0.516,12,0,50.260000000000005,0,0,1,0,581.7600000000001,44.922,0.6303159188253694,High,120,0,96
CUST_000140,85,Premium,159.5,13,43.8,3,1,1,8,0.316,2,0,48.46,1,1,1,0,10846.0,60.462,0.15297740587283049,Low,120,0,109
CUST_000141,78,Standard,80.6,17,13.5,2,1,0,7,0.585,26,0,46.75,0,1,0,1,5029.44,55.975,0.27407899353323467,Medium,120,0,108
CUST_000142,6,Standard,86.28,19,34.4,4,2,3,6,0.345,9,0,48.22,0,1,1,0,414.14400000000006,70.534,0.6759157284745035,High,120,0,89
CUST_000143,16,Basic,29.99,17,26.1,3,1,0,7,0.272,2,0,44.269999999999996,0,1,1,0,383.872,61.719,0.5124726150979949,High,120,0,96
CUST_000144,8,Premium,139.32,7,46.1,2,1,2,4,0.269,21,0,34.21,1,1,0,1,891.648,69.737,0.6313352242146585,High,120,0,86
CUST_000145,8,Premium,148.22,25,10.0,3,0,2,8,0.067,0,1,45.34000000000001,1,0,1,0,948.6080000000001,36.397999999999996,0.5346768809581879,High,34,1,94
CUST_000146,1,Basic,29.86,13,46.8,2,0,1,5,0.643,4,0,49.9,0,0,0,0,23.888,25.03,0.5247876708597388,High,120,0,97
CUST_000147,22,Standard,71.55,15,39.6,0,0,1,7,0.682,1,0,54.52,0,0,0,0,1259.28,13.644,0.3190576177746039,Medium,120,0,105
CUST_000148,16,Standard,71.34,18,23.1,2,1,1,9,0.381,18,0,50.550000000000004,0,1,0,1,913.152,54.834999999999994,0.46597927202395373,Medium,120,0,98
CUST_000149,1,Standard,73.14,11,41.5,1,0,2,1,0.511,0,0,35.67,0,0,0,0,58.512,29.299,0.602974448810372,High,120,0,90
CUST_000150,7,Enterprise,284.15,9,10.7,3,0,0,6,0.226,9,0,28.73,1,0,1,0,1591.2399999999998,51.381,0.7305497664923241,High,120,0,85
CUST_000151,57,Standard,77.89,13,23.3,1,0,1,4,0.536,13,0,38.71000000000001,0,0,0,0,3551.7840000000006,28.387,0.371835539808973,Medium,120,0,106
CUST_000152,6,Standard,78.8,19,68.7,1,1,0,9,0.237,2,1,62.35000000000001,0,1,0,0,378.24,36.295,0.2590496156929618,Medium,24,1,103
CUST_000153,3,Basic,26.9,19,25.5,2,1,2,6,0.381,9,0,46.269999999999996,0,1,0,0,64.55999999999999,51.119,0.5796556977412659,High,120,0,94
CUST_000154,16,Basic,30.01,7,23.6,1,0,1,5,0.283,0,0,29.74,0,0,0,0,384.12800000000004,31.078,0.5413273540269359,High,120,0,95
CUST_000155,101,Basic,29.56,20,36.1,1,0,1,8,0.723,1,0,61.29,0,0,0,0,2388.448,11.613,0.06971159042073818,Low,120,0,111
CUST_000156,6,Basic,27.81,13,22.2,0,0,0,7,0.386,22,0,41.379999999999995,0,0,0,1,133.488,32.586,0.5728756615336307,High,120,0,96
CUST_000157,26,Premium,134.51,16,33.2,1,1,2,8,0.723,1,0,56.42,1,1,0,0,2797.808,38.074,0.32806085755653874,Medium,120,0,105
CUST_000158,34,Premium,136.41,16,31.2,2,0,2,8,0.125,2,0,43.86000000000001,1,0,0,0,3710.352,16.842,0.32634334360649797,Medium,120,0,103
CUST_000159,6,Basic,28.37,11,31.2,1,0,0,10,0.112,15,0,42.6,0,0,0,1,136.17600000000002,32.22,0.47129903069406776,Medium,120,0,96
CUST_000160,31,Premium,138.69,16,14.1,1,0,2,3,0.501,2,0,36.25,1,0,0,0,3439.5120000000006,29.125,0.48338232202693754,Medium,120,0,100
CUST_000161,11,Basic,28.29,13,38.1,1,1,1,3,0.344,5,0,37.31,0,1,0,0,248.952,53.807,0.538448098833058,High,120,0,94
CUST_000162,24,Standard,81.03,18,17.4,3,0,0,9,0.223,2,0,45.68,0,0,1,0,1555.776,36.296,0.44953789037916186,Medium,120,0,100
CUST_000163,24,Basic,29.27,13,27.1,1,0,0,10,0.302,8,0,47.17,0,0,0,0,561.984,15.849,0.37610450753696845,Medium,120,0,104
CUST_000164,18,Standard,74.75,14,17.0,1,1,0,6,0.681,24,0,44.720000000000006,0,1,0,1,1076.4,66.584,0.5792220297893473,High,120,0,98
CUST_000165,2,Basic,28.09,14,30.0,1,2,2,7,0.375,0,0,44.49999999999999,0,1,0,0,44.944,41.650000000000006,0.5614948250061377,High,120,0,93
CUST_000166,43,Standard,80.8,28,32.3,2,0,1,6,0.105,11,0,51.790000000000006,0,0,0,0,2779.5200000000004,24.463,0.278943589642566,Medium,120,0,105
